Name,Set,Rarity,Price
MoxAmber,DOM,Mythic,40.00
TeferiHeroofDominaria,DOM,Mythic,25.00
HelmoftheHost,DOM,Rare,18.52
LyraDawnbringer,DOM,Mythic,11.15
KarnScionofUrza,DOM,Mythic,8.40
HinterlandHarbor,DOM,Rare,6.86
MuldrothatheGravetide,DOM,Mythic,6.74
ClifftopRetreat,DOM,Rare,6.62
WoodlandCemetery,DOM,Rare,5.39
IsolatedChapel,DOM,Rare,5.30
ShalaiVoiceofPlenty,DOM,Rare,5.00
CabalStronghold,DOM,Rare,4.95
GildedLotus,DOM,Rare,4.60
SulfurFalls,DOM,Rare,4.45
PhyrexianScriptures,DOM,Mythic,3.79
RatColony,DOM,Common,2.80
JhoiraWeatherlightCaptain,DOM,Mythic,2.75
TatyovaBenthicDruid,DOM,Uncommon,2.75
TetsukoUmezawaFugitive,DOM,Uncommon,2.47
KarnsTemporalSundering,DOM,Rare,2.29
DemonlordBelzenlok,DOM,Mythic,1.74
PrimevalsGloriousRebirth,DOM,Rare,1.73
Weatherlight,DOM,Mythic,1.70
MultaniYavimayasAvatar,DOM,Mythic,1.64
DampingSphere,DOM,Uncommon,1.58
HistoryofBenalia,DOM,Mythic,1.57
SteelLeafChampion,DOM,Rare,1.53
UrzasRuinousBlast,DOM,Rare,1.50
SqueetheImmortal,DOM,Rare,1.37
NaruMehaMasterWizard,DOM,Mythic,1.35
VerixBladewing,DOM,Mythic,1.34
DarigaazReincarnated,DOM,Mythic,1.33
FinalParting,DOM,Uncommon,1.29
OathofTeferi,DOM,Rare,1.29
BlackbladeReforged,DOM,Rare,1.15
MarwyntheNurturer,DOM,Rare,1.15
JayaBallard,DOM,Mythic,1.14
JodahArchmageEternal,DOM,Rare,1.11
SylvanAwakening,DOM,Rare,1.07
SiegeGangCommander,DOM,Rare,1.02
ThranTemporalGateway,DOM,Rare,1.00
JosuVessLichKnight,DOM,Rare,0.98
KamahlsDruidicVow,DOM,Rare,0.98
MerfolkTrickster,DOM,Uncommon,0.97
SongofFreyalise,DOM,Uncommon,0.89
GoblinChainwhirler,DOM,Rare,0.82
