Name,Price,Set,Rarity
"Tabletop
$ 317","DECLINING CARDS
19▼","PRICE CHANGE
+0.93","RISING CARDS
23▲"
"Jace, the Mind Sculptor",69.39,WWK,Mythic
Stoneforge Mystic,48.97,WWK,Rare
Amulet of Vigor,22.53,WWK,Rare
Eye of Ugin,12.25,WWK,Mythic
Quest for Ula's Temple,11.99,WWK,Rare
"Wrexial, the Risen Deep",10.98,WWK,Mythic
Death's Shadow,8.63,WWK,Rare
Avenger of Zendikar,7.99,WWK,Mythic
"Omnath, Locus of Mana",7.79,WWK,Mythic
"Thada Adel, Acquisitor",7.79,WWK,Rare
"Kazuul, Tyrant of the Cliffs",7.44,WWK,Rare
Joraga Warcaller,7.09,WWK,Rare
Kalastria Highborn,6.50,WWK,Rare
Quest for Renewal,4.72,WWK,Uncommon
Celestial Colonnade,4.29,WWK,Rare
Creeping Tar Pit,3.89,WWK,Rare
Quest for the Nihil Stone,3.51,WWK,Rare
Bazaar Trader,3.32,WWK,Rare
Basilisk Collar,3.19,WWK,Rare
Novablast Wurm,2.77,WWK,Mythic
Raging Ravine,2.48,WWK,Rare
"Anowon, the Ruin Sage",2.32,WWK,Rare
Dragonmaster Outcast,2.22,WWK,Mythic
Harabaz Druid,2.14,WWK,Rare
Searing Blaze,1.74,WWK,Common
Terra Eternal,1.74,WWK,Rare
Admonition Angel,1.60,WWK,Mythic
Bojuka Bog,1.50,WWK,Common
Lavaclaw Reaches,1.44,WWK,Rare
Walking Atlas,1.30,WWK,Common
Nature's Claim,1.25,WWK,Common
Abyssal Persecutor,1.21,WWK,Mythic
Lodestone Golem,1.16,WWK,Rare
Everflowing Chalice,1.13,WWK,Uncommon
Butcher of Malakir,1.12,WWK,Rare
Perimeter Captain,1.06,WWK,Uncommon
Tectonic Edge,1.04,WWK,Uncommon
Quest for the Goblin Lord,1.00,WWK,Uncommon
Jwari Shapeshifter,0.99,WWK,Rare
Canopy Cover,0.96,WWK,Uncommon
Comet Storm,0.96,WWK,Mythic
Chain Reaction,0.80,WWK,Rare
Stirring Wildwood,0.76,WWK,Rare
Talus Paladin,0.75,WWK,Rare
Arbor Elf,0.64,WWK,Common
Selective Memory,0.64,WWK,Rare
Terastodon,0.62,WWK,Rare
Groundswell,0.52,WWK,Common
Agadeem Occultist,0.50,WWK,Rare
Kor Firewalker,0.50,WWK,Uncommon
Mordant Dragon,0.50,WWK,Rare
Ruin Ghost,0.50,WWK,Uncommon
Strength of the Tajuru,0.50,WWK,Rare
Wolfbriar Elemental,0.50,WWK,Rare
Marshal's Anthem,0.49,WWK,Rare
Ricochet Trap,0.48,WWK,Uncommon
Halimar Depths,0.47,WWK,Common
Hada Freeblade,0.45,WWK,Uncommon
Loam Lion,0.44,WWK,Uncommon
Leatherback Baloth,0.42,WWK,Uncommon
Seer's Sundial,0.40,WWK,Rare
Archon of Redemption,0.39,WWK,Rare
Dispel,0.39,WWK,Common
Scrib Nibblers,0.39,WWK,Uncommon
Goliath Sphinx,0.38,WWK,Rare
Pulse Tracker,0.35,WWK,Common
Stone Idol Trap,0.35,WWK,Rare
Tideforce Elemental,0.35,WWK,Uncommon
Tuktuk Scrapper,0.34,WWK,Uncommon
Explore,0.33,WWK,Common
Urge to Feed,0.32,WWK,Uncommon
Khalni Garden,0.31,WWK,Common
Bloodhusk Ritualist,0.30,WWK,Uncommon
Lightkeeper of Emeria,0.30,WWK,Uncommon
Treasure Hunt,0.30,WWK,Common
Dread Statuary,0.29,WWK,Uncommon
Cunning Sparkmage,0.27,WWK,Uncommon
Rest for the Weary,0.26,WWK,Common
Akoum Battlesinger,0.25,WWK,Common
Bestial Menace,0.25,WWK,Uncommon
Caustic Crawler,0.25,WWK,Uncommon
Deathforge Shaman,0.25,WWK,Uncommon
Hammer of Ruin,0.25,WWK,Uncommon
Horizon Drake,0.25,WWK,Uncommon
Nemesis Trap,0.25,WWK,Uncommon
Permafrost Trap,0.25,WWK,Uncommon
Quicksand,0.25,WWK,Common
Razor Boomerang,0.25,WWK,Uncommon
Refraction Trap,0.25,WWK,Uncommon
Roiling Terrain,0.25,WWK,Common
Rumbling Aftershocks,0.25,WWK,Uncommon
Sejiri Merfolk,0.25,WWK,Uncommon
Sejiri Steppe,0.25,WWK,Common
Slavering Nulls,0.25,WWK,Uncommon
Slingbow Trap,0.25,WWK,Uncommon
Smoldering Spires,0.25,WWK,Common
Smother,0.25,WWK,Uncommon
Spell Contortion,0.25,WWK,Uncommon
Summit Apes,0.25,WWK,Uncommon
Twitch,0.25,WWK,Common
Vapor Snare,0.25,WWK,Uncommon
Vastwood Animist,0.25,WWK,Uncommon
Voyager Drake,0.25,WWK,Uncommon
Claws of Valakut,0.24,WWK,Common
Grotag Thrasher,0.24,WWK,Common
Halimar Excavator,0.24,WWK,Common
Quag Vampires,0.24,WWK,Common
Shoreline Salvager,0.24,WWK,Uncommon
Wind Zendikon,0.24,WWK,Common
Corrupted Zendikon,0.23,WWK,Common
Cosi's Ravager,0.23,WWK,Common
Gnarlid Pack,0.23,WWK,Common
Guardian Zendikon,0.23,WWK,Common
Hedron Rover,0.23,WWK,Common
Join the Ranks,0.23,WWK,Common
Kitesail Apprentice,0.23,WWK,Common
Mire's Toll,0.23,WWK,Common
Apex Hawks,0.22,WWK,Common
Calcite Snapper,0.22,WWK,Common
Dead Reckoning,0.22,WWK,Common
Grappler Spider,0.22,WWK,Common
Kitesail,0.22,WWK,Common
Skitter of Lizards,0.22,WWK,Common
Snapping Creeper,0.22,WWK,Common
Vastwood Zendikon,0.22,WWK,Common
Veteran's Reflexes,0.22,WWK,Common
Enclave Elite,0.21,WWK,Common
Fledgling Griffin,0.21,WWK,Common
Marsh Threader,0.21,WWK,Common
Pilgrim's Eye,0.21,WWK,Common
Tomb Hex,0.21,WWK,Common
Aether Tradewinds,0.20,WWK,Common
Battle Hurda,0.20,WWK,Common
Bojuka Brigand,0.20,WWK,Common
Brink of Disaster,0.20,WWK,Common
Bull Rush,0.20,WWK,Common
Crusher Zendikon,0.20,WWK,Common
Feral Contest,0.20,WWK,Common
Goblin Roughrider,0.20,WWK,Common
Graypelt Hunter,0.20,WWK,Common
Iona's Judgment,0.20,WWK,Common
Jagwasp Swarm,0.20,WWK,Common
Mysteries of the Deep,0.20,WWK,Common
Ruthless Cullblade,0.20,WWK,Common
Surrakar Banisher,0.20,WWK,Common
"Jace, the Mind Sculptor",5.79,WWK,Mythic
Amulet of Vigor,2.68,WWK,Rare
Stoneforge Mystic,2.24,WWK,Rare
Searing Blaze,1.99,WWK,Common
Death's Shadow,1.58,WWK,Rare
Avenger of Zendikar,0.87,WWK,Mythic
Bojuka Bog,0.74,WWK,Common
Celestial Colonnade,0.26,WWK,Rare
Creeping Tar Pit,0.17,WWK,Rare
Nature's Claim,0.17,WWK,Common
"Omnath, Locus of Mana",0.16,WWK,Mythic
Eye of Ugin,0.14,WWK,Mythic
Khalni Garden,0.11,WWK,Common
Basilisk Collar,0.08,WWK,Rare
Hammer of Ruin,0.04,WWK,Uncommon
Hedron Rover,0.04,WWK,Common
Nemesis Trap,0.04,WWK,Uncommon
Refraction Trap,0.04,WWK,Uncommon
Slingbow Trap,0.04,WWK,Uncommon
Snapping Creeper,0.04,WWK,Common
Vastwood Animist,0.04,WWK,Uncommon
Aether Tradewinds,0.03,WWK,Common
Battle Hurda,0.03,WWK,Common
Bestial Menace,0.03,WWK,Uncommon
Bull Rush,0.03,WWK,Common
Cosi's Ravager,0.03,WWK,Common
Dead Reckoning,0.03,WWK,Common
Dread Statuary,0.03,WWK,Uncommon
Enclave Elite,0.03,WWK,Common
Explore,0.03,WWK,Common
Feral Contest,0.03,WWK,Common
Fledgling Griffin,0.03,WWK,Common
Goblin Roughrider,0.03,WWK,Common
Graypelt Hunter,0.03,WWK,Common
Grotag Thrasher,0.03,WWK,Common
Horizon Drake,0.03,WWK,Uncommon
Iona's Judgment,0.03,WWK,Common
Jagwasp Swarm,0.03,WWK,Common
Kor Firewalker,0.03,WWK,Uncommon
Leatherback Baloth,0.03,WWK,Uncommon
Lightkeeper of Emeria,0.03,WWK,Uncommon
Marsh Threader,0.03,WWK,Common
Mire's Toll,0.03,WWK,Common
Mysteries of the Deep,0.03,WWK,Common
Permafrost Trap,0.03,WWK,Uncommon
Razor Boomerang,0.03,WWK,Uncommon
Ruin Ghost,0.03,WWK,Uncommon
Rumbling Aftershocks,0.03,WWK,Uncommon
Ruthless Cullblade,0.03,WWK,Common
Sejiri Merfolk,0.03,WWK,Uncommon
Shoreline Salvager,0.03,WWK,Uncommon
Skitter of Lizards,0.03,WWK,Common
Slavering Nulls,0.03,WWK,Uncommon
Spell Contortion,0.03,WWK,Uncommon
Summit Apes,0.03,WWK,Uncommon
Surrakar Banisher,0.03,WWK,Common
Tomb Hex,0.03,WWK,Common
Twitch,0.03,WWK,Common
Vapor Snare,0.03,WWK,Uncommon
Voyager Drake,0.03,WWK,Uncommon
Abyssal Persecutor,0.02,WWK,Mythic
Admonition Angel,0.02,WWK,Mythic
Akoum Battlesinger,0.02,WWK,Common
Apex Hawks,0.02,WWK,Common
Arbor Elf,0.02,WWK,Common
Bloodhusk Ritualist,0.02,WWK,Uncommon
Bojuka Brigand,0.02,WWK,Common
Brink of Disaster,0.02,WWK,Common
Calcite Snapper,0.02,WWK,Common
Canopy Cover,0.02,WWK,Uncommon
Caustic Crawler,0.02,WWK,Uncommon
Claws of Valakut,0.02,WWK,Common
Comet Storm,0.02,WWK,Mythic
Corrupted Zendikon,0.02,WWK,Common
Crusher Zendikon,0.02,WWK,Common
Cunning Sparkmage,0.02,WWK,Uncommon
Deathforge Shaman,0.02,WWK,Uncommon
Dispel,0.02,WWK,Common
Everflowing Chalice,0.02,WWK,Uncommon
Gnarlid Pack,0.02,WWK,Common
Goliath Sphinx,0.02,WWK,Rare
Grappler Spider,0.02,WWK,Common
Groundswell,0.02,WWK,Common
Guardian Zendikon,0.02,WWK,Common
Hada Freeblade,0.02,WWK,Uncommon
Halimar Depths,0.02,WWK,Common
Halimar Excavator,0.02,WWK,Common
Join the Ranks,0.02,WWK,Common
Joraga Warcaller,0.02,WWK,Rare
Kitesail Apprentice,0.02,WWK,Common
Kitesail,0.02,WWK,Common
Loam Lion,0.02,WWK,Uncommon
Lodestone Golem,0.02,WWK,Rare
Perimeter Captain,0.02,WWK,Uncommon
Pilgrim's Eye,0.02,WWK,Common
Pulse Tracker,0.02,WWK,Common
Quag Vampires,0.02,WWK,Common
Quest for Renewal,0.02,WWK,Uncommon
Quest for the Goblin Lord,0.02,WWK,Uncommon
Quicksand,0.02,WWK,Common
Rest for the Weary,0.02,WWK,Common
Ricochet Trap,0.02,WWK,Uncommon
Roiling Terrain,0.02,WWK,Common
Scrib Nibblers,0.02,WWK,Uncommon
Sejiri Steppe,0.02,WWK,Common
Smoldering Spires,0.02,WWK,Common
Smother,0.02,WWK,Uncommon
Tectonic Edge,0.02,WWK,Uncommon
Terastodon,0.02,WWK,Rare
Tideforce Elemental,0.02,WWK,Uncommon
Treasure Hunt,0.02,WWK,Common
Tuktuk Scrapper,0.02,WWK,Uncommon
Urge to Feed,0.02,WWK,Uncommon
Vastwood Zendikon,0.02,WWK,Common
Veteran's Reflexes,0.02,WWK,Common
Walking Atlas,0.02,WWK,Common
Wind Zendikon,0.02,WWK,Common
"Wrexial, the Risen Deep",0.02,WWK,Mythic
Agadeem Occultist,0.01,WWK,Rare
"Anowon, the Ruin Sage",0.01,WWK,Rare
Archon of Redemption,0.01,WWK,Rare
Bazaar Trader,0.01,WWK,Rare
Butcher of Malakir,0.01,WWK,Rare
Chain Reaction,0.01,WWK,Rare
Dragonmaster Outcast,0.01,WWK,Mythic
Harabaz Druid,0.01,WWK,Rare
Jwari Shapeshifter,0.01,WWK,Rare
Kalastria Highborn,0.01,WWK,Rare
"Kazuul, Tyrant of the Cliffs",0.01,WWK,Rare
Lavaclaw Reaches,0.01,WWK,Rare
Marshal's Anthem,0.01,WWK,Rare
Mordant Dragon,0.01,WWK,Rare
Novablast Wurm,0.01,WWK,Mythic
Quest for Ula's Temple,0.01,WWK,Rare
Quest for the Nihil Stone,0.01,WWK,Rare
Raging Ravine,0.01,WWK,Rare
Seer's Sundial,0.01,WWK,Rare
Selective Memory,0.01,WWK,Rare
Stirring Wildwood,0.01,WWK,Rare
Stone Idol Trap,0.01,WWK,Rare
Strength of the Tajuru,0.01,WWK,Rare
Talus Paladin,0.01,WWK,Rare
Terra Eternal,0.01,WWK,Rare
"Thada Adel, Acquisitor",0.01,WWK,Rare
Wolfbriar Elemental,0.01,WWK,Rare
"Tabletop
$ 268","DECLINING CARDS
17▼","PRICE CHANGE
+2.20","RISING CARDS
71▲"
Smothering Tithe,45.69,RNA,Rare
Breeding Pool,21.66,RNA,Rare
Blood Crypt,18.37,RNA,Rare
Godless Shrine,13.52,RNA,Rare
Guardian Project,12.46,RNA,Rare
Hydroid Krasis,11.02,RNA,Mythic
Stomping Ground,10.44,RNA,Rare
Hallowed Fountain,9.99,RNA,Rare
Captive Audience,4.08,RNA,Mythic
"Kaya, Orzhov Usurper",3.70,RNA,Mythic
Biogenic Ooze,3.53,RNA,Mythic
Priest of Forgotten Gods,3.23,RNA,Rare
Rhythm of the Wild,2.95,RNA,Uncommon
Teysa Karlov,2.85,RNA,Rare
Prime Speaker Vannifar,2.84,RNA,Mythic
Electrodominance,2.47,RNA,Rare
Wilderness Reclamation,2.33,RNA,Uncommon
"Rakdos, the Showstopper",2.25,RNA,Mythic
Bedevil,2.14,RNA,Rare
Spawn of Mayhem,1.98,RNA,Mythic
Persistent Petitioners,1.96,RNA,Common
Simic Ascendancy,1.94,RNA,Rare
Seraph of the Scales,1.90,RNA,Mythic
Mass Manipulation,1.55,RNA,Rare
