Name,Set,Rarity,Price
Smothering Tithe,RNA,Rare,40.94
Breeding Pool,RNA,Rare,21.57
Blood Crypt,RNA,Rare,17.59
Godless Shrine,RNA,Rare,13.64
Guardian Project,RNA,Rare,12.60
Hydroid Krasis,RNA,Mythic,11.24
Stomping Ground,RNA,Rare,10.17
Hallowed Fountain,RNA,Rare,9.32
Captive Audience,RNA,Mythic,4.18
Biogenic Ooze,RNA,Mythic,3.66
"Kaya, Orzhov Usurper",RNA,Mythic,3.66
Rhythm of the Wild,RNA,Uncommon,3.60
Priest of Forgotten Gods,RNA,Rare,3.30
Teysa Karlov,RNA,Rare,2.93
Prime Speaker Vannifar,RNA,Mythic,2.89
Electrodominance,RNA,Rare,2.49
Wilderness Reclamation,RNA,Uncommon,2.33
"Rakdos, the Showstopper",RNA,Mythic,2.28
Bedevil,RNA,Rare,2.21
Persistent Petitioners,RNA,Common,1.99
Seraph of the Scales,RNA,Mythic,1.99
Spawn of Mayhem,RNA,Mythic,1.98
Simic Ascendancy,RNA,Rare,1.93
"Domri, Chaos Bringer",RNA,Mythic,1.50
Incubation Druid,RNA,Rare,1.29
Mass Manipulation,RNA,Rare,1.15
Cindervines,RNA,Rare,1.13
"Dovin, Grand Arbiter",RNA,Mythic,1.01
Absorb,RNA,Rare,1.00
Angel of Grace,RNA,Mythic,1.00
Gutterbones,RNA,Rare,1.00
Kaya's Wrath,RNA,Rare,1.00
"Lavinia, Azorius Renegade",RNA,Rare,1.00
Mesmerizing Benthid,RNA,Mythic,1.00
Biomancer's Familiar,RNA,Rare,0.99
Mirror March,RNA,Rare,0.99
Revival // Revenge,RNA,Rare,0.99
Emergency Powers,RNA,Mythic,0.98
Skarrgan Hellkite,RNA,Mythic,0.98
Tithe Taker,RNA,Rare,0.98
Deputy of Detention,RNA,Rare,0.95
Repudiate // Replicate,RNA,Rare,0.94
Unbreakable Formation,RNA,Rare,0.90
Forest,RNA,Basic Land,0.89
End-Raze Forerunners,RNA,Rare,0.87
Vindictive Vampire,RNA,Uncommon,0.84
"Judith, the Scourge Diva",RNA,Rare,0.76
Ravager Wurm,RNA,Mythic,0.75
Mountain,RNA,Basic Land,0.74
Ethereal Absolution,RNA,Rare,0.68
Skewer the Critics,RNA,Common,0.65
Gruul Spellbreaker,RNA,Rare,0.63
Benthic Biomancer,RNA,Rare,0.60
Island,RNA,Basic Land,0.58
Font of Agonies,RNA,Rare,0.55
Hero of Precinct One,RNA,Rare,0.54
Sphinx of Foresight,RNA,Rare,0.54
Awaken the Erstwhile,RNA,Rare,0.50
Pestilent Spirit,RNA,Rare,0.50
Plaza of Harmony,RNA,Rare,0.50
Rampage of the Clans,RNA,Rare,0.50
"Zegana, Utopian Speaker",RNA,Rare,0.50
Growth Spiral,RNA,Common,0.49
Growth-Chamber Guardian,RNA,Rare,0.49
High Alert,RNA,Uncommon,0.49
Light Up the Stage,RNA,Uncommon,0.49
Tome of the Guildpact,RNA,Rare,0.49
Verity Circle,RNA,Rare,0.48
Nikya of the Old Ways,RNA,Rare,0.47
Swamp,RNA,Basic Land,0.47
Theater of Horrors,RNA,Rare,0.46
Wall of Lost Thoughts,RNA,Uncommon,0.44
Dovin's Dismissal,RNA,Rare,0.43
Precognitive Perception,RNA,Rare,0.43
Rix Maadi Reveler,RNA,Rare,0.43
Glass of the Guildpact,RNA,Rare,0.40
Mortify,RNA,Uncommon,0.40
Pteramander,RNA,Uncommon,0.40
Resolute Watchdog,RNA,Uncommon,0.40
Immolation Shaman,RNA,Rare,0.39
Domri's Nodorog,RNA,Rare,0.38
Lumbering Battlement,RNA,Rare,0.35
