Name,Price,Set,Rarity
"Tabletop
 270","DECLINING CARDS
25▼","PRICE CHANGE
-0.29","RISING CARDS
47▲"
Growing Rites of Itlimoc,23.00,XLN,Rare
Gishath Suns Avatar,17.99,XLN,Mythic
Vanquishers Banner,12.39,XLN,Rare
Revel in Riches,11.23,XLN,Rare
Primal Amulet,9.99,XLN,Rare
Carnage Tyrant,9.24,XLN,Mythic
Drowned Catacomb,7.49,XLN,Rare
Wakening Suns Avatar,7.00,XLN,Mythic
Treasure Map,5.80,XLN,Rare
Dowsing Dagger,5.49,XLN,Rare
Search for Azcanta,5.15,XLN,Rare
Vona Butcher of Magan,5.00,XLN,Mythic
Dragonskull Summit,4.47,XLN,Rare
Sunpetal Grove,4.39,XLN,Rare
Glacial Fortress,4.12,XLN,Rare
Rootbound Crag,4.00,XLN,Rare
Captain Lannery Storm,3.99,XLN,Rare
Huatli Warrior Poet,3.92,XLN,Mythic
Arcane Adaptation,3.68,XLN,Rare
Tishana Voice of Thunder,3.50,XLN,Mythic
Admiral Beckett Brass,3.40,XLN,Mythic
Rampaging Ferocidon,3.29,XLN,Rare
Legions Landing,3.00,XLN,Rare
Settle the Wreckage,3.00,XLN,Rare
Star of Extinction,3.00,XLN,Mythic
Thaumatic Compass,3.00,XLN,Rare
Vraska Relic Seeker,2.92,XLN,Mythic
Spell Swindle,2.81,XLN,Rare
Herald of Secret Streams,2.63,XLN,Rare
Ripjaw Raptor,2.57,XLN,Rare
Dire Fleet Ravager,2.20,XLN,Mythic
Mavren Fein Dusk Apostle,2.20,XLN,Rare
Kinjallis Sunwing,2.00,XLN,Rare
Jace Cunning Castaway,1.85,XLN,Mythic
Unclaimed Territory,1.49,XLN,Uncommon
Hostage Taker,1.43,XLN,Rare
Conquerors Galleon,1.40,XLN,Rare
Vraskas Contempt,1.35,XLN,Rare
Fleet Swallower,1.28,XLN,Rare
Sanctum Seeker,1.26,XLN,Rare
Regisaur Alpha,1.19,XLN,Rare
Sunbirds Invocation,1.19,XLN,Rare
Rivers Rebuke,1.17,XLN,Rare
Axis of Mortality,1.03,XLN,Mythic
Shapers Sanctuary,1.03,XLN,Rare
Angraths Marauders,1.00,XLN,Rare
