Name,Price,Set,Rarity,x1,x2,x3,x4
"Tabletop
$ 271","DECLINING CARDS
23▼","PRICE CHANGE
+0.05","RISING CARDS
41▲","MTGO
24 tix","PRICE CHANGE
+0.75","RISING CARDS
10▲","DECLINING CARDS
6▼"
Mox Amber,44.02,DOM,Mythic,-0.42,-1.00%,+2.18,+5.00%
"Teferi, Hero of Dominaria",24.99,DOM,Mythic,-0.01,0.00%,-0.02,0.00%
Helm of the Host,18.89,DOM,Rare,-0.09,0.00%,+0.90,+5.00%
Lyra Dawnbringer,11.51,DOM,Mythic,+0.08,+1.00%,+0.39,+4.00%
"Karn, Scion of Urza",8.57,DOM,Mythic,+0.01,0.00%,+0.13,+2.00%
Hinterland Harbor,6.92,DOM,Rare,+0.05,+1.00%,+0.04,+1.00%
"Muldrotha, the Gravetide",6.90,DOM,Mythic,0.00,0.00%,+0.04,+1.00%
Clifftop Retreat,6.50,DOM,Rare,-0.01,0.00%,-0.28,-4.00%
Isolated Chapel,5.44,DOM,Rare,+0.06,+1.00%,+0.15,+3.00%
Woodland Cemetery,5.27,DOM,Rare,-0.03,-1.00%,-0.06,-1.00%
"Shalai, Voice of Plenty",5.08,DOM,Rare,+0.07,+1.00%,+0.08,+2.00%
Cabal Stronghold,4.99,DOM,Rare,0.00,0.00%,-0.03,-1.00%
Gilded Lotus,4.55,DOM,Rare,0.00,0.00%,+0.01,0.00%
Sulfur Falls,4.45,DOM,Rare,+0.02,0.00%,+0.02,0.00%
Phyrexian Scriptures,3.86,DOM,Mythic,-0.02,-1.00%,+0.07,+2.00%
Rat Colony,2.89,DOM,Common,+0.04,+1.00%,+0.07,+2.00%
"Tatyova, Benthic Druid",2.69,DOM,Uncommon,+0.01,0.00%,+0.05,+2.00%
"Jhoira, Weatherlight Captain",2.65,DOM,Mythic,+0.03,+1.00%,-0.08,-3.00%
Karn's Temporal Sundering,2.45,DOM,Rare,0.00,0.00%,+0.05,+2.00%
"Tetsuko Umezawa, Fugitive",2.33,DOM,Uncommon,-0.01,0.00%,-0.16,-6.00%
Demonlord Belzenlok,1.75,DOM,Mythic,-0.01,-1.00%,0.00,0.00%
Primevals' Glorious Rebirth,1.72,DOM,Rare,+0.01,+1.00%,+0.09,+6.00%
"Multani, Yavimaya's Avatar",1.70,DOM,Mythic,0.00,0.00%,+0.03,+2.00%
Damping Sphere,1.68,DOM,Uncommon,0.00,0.00%,-0.01,-1.00%
Urza's Ruinous Blast,1.62,DOM,Rare,+0.01,+1.00%,+0.04,+3.00%
Weatherlight,1.62,DOM,Mythic,-0.02,-1.00%,-0.03,-2.00%
History of Benalia,1.57,DOM,Mythic,0.00,0.00%,+0.03,+2.00%
Steel Leaf Champion,1.55,DOM,Rare,+0.01,+1.00%,-0.05,-3.00%
"Naru Meha, Master Wizard",1.46,DOM,Mythic,+0.07,+5.00%,+0.06,+4.00%
