"card_name";"price";"set_name";"rarity"
"-0.01";"0.00";"0.00";"0.01"
"-0.02";"-3.00";"0.00";"-0.12"
"-0.03";"2.00";"-1.00";"0.08"
"-0.04";"1.00";"-1.00";"0.02"
"-0.05";"4.00";"-1.00";"0.20"
"-0.06";"-2.00";"-2.00";"-0.07"
"-0.07";"-4.00";"-4.00";"-0.07"
"-0.08";"1.00";"-2.00";"0.04"
"-0.09";"-8.00";"-5.00";"-0.13"
"-0.10";"3.00";"0.00";"0.67"
"-0.11";"2.00";"0.00";"0.45"
"-0.12";"-36.00";"-36.00";"-0.12"
"-0.13";"-7.00";"-5.00";"-0.19"
"-0.14";"-5.00";"-3.00";"-0.24"
"-0.15";"-1.00";"-3.00";"-0.03"
"-0.16";"-1.00";"-1.00";"-0.12"
"-0.17";"-1.00";"0.00";"-0.92"
"-0.18";"-2.00";"-3.00";"-0.11"
"-0.19";"-2.00";"-1.00";"-0.67"
"-0.20";"-31.00";"-6.00";"-1.41"
"-0.22";"-3.00";"-1.00";"-1.20"
"-0.23";"-3.00";"-1.00";"-0.44"
"-0.25";"-27.00";"-14.00";"-0.59"
"-0.26";"-11.00";"-3.00";"-1.11"
"-0.27";"-24.00";"-13.00";"-0.56"
"-0.28";"-3.00";"-1.00";"-0.59"
"-0.31";"-1.00";"0.00";"-0.46"
"-0.32";"-18.00";"-2.00";"-3.03"
"-0.33";"29.00";"-6.00";"1.16"
"-0.34";"-26.00";"-32.00";"-0.25"
"-0.36";"-4.00";"-2.00";"-0.65"
"-0.37";"-2.00";"-1.00";"-1.37"
"-0.38";"0.00";"-7.00";"0.00"
"-0.45";"-3.00";"-3.00";"-0.43"
"-0.46";"-21.00";"-9.00";"-1.23"
"-0.47";"-4.00";"-1.00";"-1.70"
"-0.49";"1.00";"-1.00";"0.75"
"-0.50";"-3.00";"-3.00";"-0.51"
"-0.56";"-5.00";"-2.00";"-1.17"
"-0.60";"-20.00";"-4.00";"-3.40"
"-0.64";"-3.00";"-1.00";"-1.72"
"-0.79";"-44.00";"-32.00";"-1.34"
"-0.99";"0.00";"-1.00";"-0.33"
"0.00";"0.00";"0.00";"-0.02"
"0.01";"-1.00";"0.00";"-0.04"
"0.02";"0.00";"0.00";"-0.01"
"0.03";"0.00";"1.00";"-0.01"
"0.04";"-1.00";"0.00";"-0.14"
"0.05";"2.00";"2.00";"0.06"
"0.06";"2.00";"1.00";"0.18"
"0.07";"-1.00";"1.00";"-0.09"
"0.08";"-4.00";"0.00";"-1.48"
"0.09";"-1.00";"1.00";"-0.11"
"0.10";"11.00";"6.00";"0.17"
"0.11";"-17.00";"30.00";"-0.10"
"0.12";"4.00";"2.00";"0.28"
"0.13";"-5.00";"1.00";"-0.68"
"0.14";"7.00";"2.00";"0.54"
"0.15";"14.00";"3.00";"0.62"
"0.16";"-2.00";"2.00";"-0.16"
"0.18";"2.00";"1.00";"0.34"
"0.19";"1.00";"1.00";"0.11"
